Sample #	EMG_A01	EMG_A04
4170	0.0177	-0.011597
4171	0.039368	0.037079
4172	0.038757	0.002899
4173	0.072174	0.038757
4174	0.064697	0.061951
4175	0.054626	0.029144
4176	0.044556	0.093842
4177	0.017242	0.03006
4178	0.027008	0.068512
4179	0.070953	0.130768
4180	0.012665	0.192871
4181	0.019531	0.142365
4182	-0.010529	-0.06546
4183	0.015717	-0.050659
4184	0.029907	-0.013885
4185	0.008087	-0.028534
4186	0.067291	-0.036926
4187	-0.004578	-0.020599
4188	-0.034485	-0.062408
4189	-0.024414	-0.063324
4190	-0.008545	-0.042114
4191	0.037384	-0.079193
4192	0.06546	0.041656
4193	-0.004425	0.030212
4194	0.050964	-0.07019
4195	0.034637	-0.038452
4196	0.028839	-0.0177
4197	0.003815	-0.053253
4198	0.065002	0.069275
4199	0.030823	0.020142
4200	0.01709	0.001068
4201	-0.050507	0.011139
4202	0.018616	0.002441
4203	0.027466	0.037384
4204	0.05249	-0.005493
4205	0.04425	0.102844
4206	0.02655	0.065308
4207	0.00946	0.057678
4208	-0.020294	0.023499
4209	0.048218	0.032806
4210	0.03067	0.064087
4211	0.024414	0.094757
4212	0.018311	0.031281
4213	0.035095	0.00473
4214	0.010529	0.001984
4215	-0.001373	0.041656
4216	0.046387	0.066833
4217	0.085449	0.076141
4218	0.054474	0.072632
4219	0.030518	0.076752
4220	-0.010223	0.037079
4221	0.03891	-0.034637
4222	0.012207	-0.006714
4223	0.033112	-0.065308
4224	0.02655	-0.06073
4225	0.016479	-0.049896
4226	0.005493	-0.054016
4227	0.06958	-0.182648
4228	0.007324	-0.170593
4229	0.042267	-0.093079
4230	0.031586	0.07782
4231	0.025635	0.272217
4232	0.041351	0.361328
4233	0.001221	0.281219
4234	0.032501	0.221405
4235	0.001068	0.192871
4236	0.064545	0.106812
4237	0.034485	0.11261
4238	0.032043	0.084076
4239	-0.045013	0.088501
4240	0.000763	0.063782
4241	0.00946	0.042877
4242	0.04837	0.045166
4243	0.019836	0.000458
4244	0.026703	0.045776
4245	0.032806	0.031738
4246	0.028992	0.011139
4247	0.026855	-0.040131
4248	-0.000153	-0.012207
4249	0.045471	0.027618
4250	0.035248	-0.014343
4251	0.032043	-0.013733
4252	0.020447	0.056458
4253	0.005798	0.024719
4254	0.036621	-0.037079
4255	0.073853	-0.016785
4256	0.106812	-0.003357
4257	-0.01709	0.005798
4258	0.050354	-0.002441
4259	0.028076	0.002747
4260	0.073242	0.018005
4261	0.076752	-0.001678
4262	0.042877	0.075378
4263	0.019379	0.087738
4264	0.005188	0.036926
4265	0.065308	0.015564
4266	0.016327	0.058441
4267	0.06485	0.019836
4268	0.034332	0.101776
4269	0.018921	0.097809
4270	0.029755	0.006714
4271	0.026855	-0.019836
4272	0.027313	-0.08606
4273	0.014801	-0.050964
4274	0.05127	-0.079803
4275	0.036469	-0.050659
4276	-0.000916	-0.019379
4277	0.065765	-0.007172
4278	0.058441	0.073242
4279	0.042877	0.04425
4280	0.034943	0.026855
4281	0.016632	-0.024414
4282	0.035095	-0.01236
4283	0.003815	0.065002
4284	0.052948	0.015259
4285	0.05722	0.04776
4286	0.019684	0.065155
4287	-0.025482	0.091248
4288	-0.035858	0.068817
4289	0.055847	0.04715
4290	0.064087	-0.027466
4291	0.008392	-0.039368
4292	0.06485	-0.080261
4293	0.026703	-0.004272
4294	0.043945	0.048981
4295	-0.004272	0.092316
4296	-0.028229	0.104218
4297	-0.017395	0.112
4298	0.076599	0.100861
4299	0.041962	0.135498
4300	0.001831	0.227509
4301	-0.012817	0.232544
4302	0.020294	0.122223
4303	0.039215	-0.102997
4304	0.067749	-0.15976
4305	-0.016632	-0.175018
4306	0.041046	-0.177612
4307	0.006256	-0.114136
4308	0.033417	-0.13382
4309	-0.001068	-0.125427
4310	0.069275	-0.019379
4311	0.053253	-0.028076
4312	0.048218	0.046234
4313	0.020142	-0.016022
4314	0.033875	0.007324
4315	0.029297	0.025177
4316	0.067444	0.038757
4317	0.053406	0.010376
4318	0.076447	0.020294
4319	0.077362	0.019531
4320	-0.046692	0.034943
4321	0.015717	0.086212
4322	0.048828	0.045929
4323	0.026703	0.082703
4324	0.063171	0.056152
4325	0.040588	0.051422
4326	0.047913	0.060577
4327	0.056458	-0.051422
4328	0.005035	-0.031738
4329	0.074158	0.029144
4330	0.004578	0.103912
4331	-0.001678	0.126343
4332	0.033112	0.109711
4333	-0.011597	0.082397
4334	0.027466	0.023193
4335	0.00473	0.027924
4336	-0.010071	0.039063
4337	0.057373	-0.001373
4338	0.044098	0.020142
4339	0.015259	0.021667
4340	0.027924	0.025024
4341	0.027618	0.067291
4342	0.074615	0.093536
4343	0.01358	0.02182
4344	0.010986	-0.000153
4345	-0.014496	0.043945
4346	0.009308	0.025787
4347	0.041656	0.015869
4348	0.076447	0.02243
4349	0.023651	0.091858
4350	0.029449	0.072937
4351	0.025635	0.029602
4352	0.040741	0.058594
4353	0.047302	0.0383
4354	0.042572	0.085297
4355	0.025635	0.053101
4356	0.017395	0.019531
4357	0.024872	-0.014038
4358	0.014801	-0.005798
4359	0.015411	0.007019
4360	0.01297	0.017395
4361	0.027161	0.086975
4362	0.024567	0.05661
4363	0.009613	-0.001984
4364	0.006561	-0.023041
4365	0.028839	0.013733
4366	0.046997	0.070496
4367	0.050201	0.041809
4368	0.006561	0.027618
4369	0.000763	0.039978
