Sample #	EMG_A01	EMG_A04
701	0.032959	0.042419
702	0.049896	0.089874
703	-0.006256	0.042267
704	0.016022	0.039825
705	-0.002899	0.06485
706	0.007782	0.02121
707	0.011444	0.078735
708	0.04425	0.025177
709	0.037537	0.004425
710	0.043793	0.034027
711	0.040283	0.025177
712	0.011139	-0.006104
713	0.005646	-0.017853
714	-0.01236	0.022583
715	0.005035	0.04303
716	0.006714	-0.02655
717	0.000916	-0.021362
718	-0.012817	0.00412
719	0.052185	0.059967
720	0.013733	0.029907
721	0.054932	-0.003052
722	0.01709	0.044098
723	0.03067	0.049286
724	-0.005951	0.042114
725	0.059814	-0.002594
726	0.066681	0.019531
727	0.010681	0.03067
728	0.02655	0.038757
729	0.028687	0.009155
730	0.031738	0.014343
731	-0.000305	0.068512
732	0.020294	0.018768
733	0.028992	0.011292
734	0.018616	0.036469
735	0.046539	-0.008392
736	0.037384	0.062866
737	0.016327	-0.002289
738	0.06424	0.069733
739	0.013885	0.036163
740	0.036316	0.05127
741	-0.009613	0.010986
742	0.019226	0.038757
743	0.054321	0.036926
744	0.012207	0.051575
745	0.029602	0.014343
746	-0.01297	0.033112
747	0.016785	0.039063
748	0.046539	0.027313
749	0.008698	0.00061
750	0.04776	0.01236
751	-0.016327	0.070343
752	0.006561	0.012207
753	-0.021667	0.047302
754	0.027618	0.019073
755	0.045166	0.023651
756	-0.028687	0.030975
757	0.040283	0.018768
758	0.013428	0.037842
759	0.046234	0.017548
760	0.042725	0.017242
761	0.029907	0.03006
762	0.018921	0.030212
763	0.017853	0.028534
764	0.023804	-0.007477
765	0.040131	0.023041
766	0.024567	0.029602
767	0.044708	-0.009308
768	0.023193	0.072174
769	0.022278	0.040283
770	0.015411	0.064087
771	0.01236	0.00824
772	0.042267	0.030975
773	0.004883	0.071106
774	0.002441	0.015869
775	0.061493	0.021362
776	0.024567	0.005798
777	0.033722	0.015106
778	-0.003662	0.008545
779	0.039673	0.018005
780	0.004425	0.035248
781	0.007782	0.072632
782	0.043182	0.054626
783	0.02533	0.022278
784	0.023499	0.002594
785	-0.010986	0.094452
786	0.006409	0.067596
787	0.041809	0.028076
788	-0.00473	0.088043
789	0.020142	0.037689
790	0.011902	0.009155
791	-0.012512	0.003967
792	0.020599	0.065613
793	0.038147	0.016327
794	0.032196	0.017395
795	0.040588	-0.038605
796	0.019379	0.005035
797	-0.010986	0.03891
798	0.004578	-0.005646
799	0.05188	-0.00412
800	0.029449	0.019836
801	0.035095	-0.003967
802	0.003967	0.046997
803	0.03418	-0.005188
804	0.052338	0.040741
805	0.002594	0.068054
806	0.042419	-0.006561
807	0.017242	0.018616
808	0.036316	0.033112
809	0.019226	-0.004883
810	0.009003	-0.010223
811	0.024109	0.010223
812	0.030212	0.065613
813	0.009918	0.028992
814	0.015564	0.03067
815	0.004272	0.032349
816	0.037994	0.016327
817	0.045013	0.016327
818	0.026093	0.051117
819	0.076447	0.068054
820	0.027466	0.069275
821	0.056305	0.002594
822	-0.009155	0.024109
823	0.035553	0.008545
824	0.03891	0.016632
825	0.030975	-0.017395
826	0.041962	-0.013123
827	0.029449	-0.050354
828	0.007324	-0.02121
829	0.032654	-0.003357
830	0.016937	-0.033722
831	0.003967	0.037842
832	0.02594	-0.023041
833	0.054016	-0.033569
834	0.016327	-0.003662
835	0.057831	0.009003
